                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                 1.2589,                0.69831,                 1.0063,                0.80032,                0.60312,                0.66504,                0.38178,                 1.2528,                0.63456,                 1.0001,                0.00703,                0.00703,                0.00703
                     93,                 1.2563,                0.69624,                 1.0046,                0.79892,                0.60715,                0.66404,                0.38188,                 1.2522,                0.63458,                0.99985,               0.006997,               0.006997,               0.006997
                     94,                 1.2536,                0.69508,                 1.0054,                0.80182,                0.60608,                0.66333,                0.38095,                 1.2521,                0.63368,                0.99991,               0.006964,               0.006964,               0.006964
                     95,                 1.2517,                 0.6945,                 1.0072,                0.80019,                0.60931,                0.66309,                0.38181,                 1.2519,                0.63326,                 1.0001,               0.006931,               0.006931,               0.006931
                     96,                 1.2563,                0.69402,                 1.0059,                0.80592,                0.60732,                0.66341,                0.38329,                 1.2508,                0.63225,                 0.9999,               0.006898,               0.006898,               0.006898
                     97,                 1.2489,                0.69242,                 1.0028,                0.80945,                0.60618,                0.66505,                0.38315,                 1.2505,                0.63139,                0.99989,               0.006865,               0.006865,               0.006865
                     98,                 1.2528,                0.69388,                 1.0052,                0.81111,                0.60801,                0.66583,                0.38332,                 1.2501,                0.63098,                0.99983,               0.006832,               0.006832,               0.006832
                     99,                 1.2465,                0.69124,                  1.003,                0.81484,                0.60607,                0.66388,                0.38305,                 1.2501,                0.63054,                0.99972,               0.006799,               0.006799,               0.006799
                    100,                 1.2486,                0.68779,                 1.0026,                0.81985,                0.60455,                0.66301,                0.38153,                 1.2498,                0.63019,                0.99969,               0.006766,               0.006766,               0.006766
                    101,                  1.249,                0.68949,                 1.0017,                0.82059,                0.60571,                0.66457,                0.38216,                 1.2496,                0.62953,                0.99956,               0.006733,               0.006733,               0.006733
                    102,                 1.2482,                0.69058,                 1.0033,                0.82529,                0.60307,                0.66473,                0.38212,                 1.2493,                0.62945,                0.99944,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.2448,                0.68566,                0.99956,                0.82654,                0.60128,                0.66482,                0.38229,                  1.249,                0.62896,                0.99935,               0.006667,               0.006667,               0.006667
                    104,                 1.2433,                0.68473,                 1.0026,                0.82725,                0.59907,                0.66388,                0.38242,                 1.2489,                0.62883,                0.99938,               0.006634,               0.006634,               0.006634
                    105,                 1.2443,                0.68664,                 1.0012,                0.82634,                 0.6009,                0.66414,                0.38299,                 1.2489,                0.62854,                0.99934,               0.006601,               0.006601,               0.006601
                    106,                 1.2486,                0.68558,                 1.0013,                0.82554,                 0.6013,                  0.663,                0.38271,                 1.2488,                0.62858,                0.99938,               0.006568,               0.006568,               0.006568
                    107,                 1.2426,                0.68496,                 1.0027,                0.82652,                0.60059,                0.66264,                0.38427,                 1.2486,                0.62818,                0.99935,               0.006535,               0.006535,               0.006535
                    108,                 1.2456,                0.68482,                 1.0021,                0.83394,                0.59573,                0.66248,                0.38489,                  1.248,                0.62764,                0.99905,               0.006502,               0.006502,               0.006502
                    109,                   1.24,                0.67951,                0.99841,                0.83276,                0.59795,                0.66343,                 0.3845,                 1.2475,                 0.6273,                0.99883,               0.006469,               0.006469,               0.006469
                    110,                 1.2396,                0.68222,                0.99767,                0.83156,                0.59995,                0.66333,                0.38443,                 1.2472,                0.62681,                0.99844,               0.006436,               0.006436,               0.006436
                    111,                 1.2401,                0.68106,                0.99884,                0.83305,                0.59916,                0.66346,                0.38533,                 1.2468,                 0.6264,                0.99834,               0.006403,               0.006403,               0.006403
                    112,                 1.2338,                0.67826,                0.99684,                 0.8326,                0.59954,                0.66425,                0.38547,                 1.2468,                0.62598,                0.99839,                0.00637,                0.00637,                0.00637
                    113,                 1.2348,                0.67891,                0.99872,                0.83054,                0.60087,                0.66409,                0.38614,                 1.2465,                0.62561,                0.99826,               0.006337,               0.006337,               0.006337
                    114,                 1.2351,                0.68012,                0.99689,                0.83211,                0.60234,                0.66408,                0.38632,                 1.2463,                0.62505,                0.99803,               0.006304,               0.006304,               0.006304
                    115,                 1.2322,                0.67644,                0.99724,                0.83707,                0.60003,                0.66504,                0.38711,                 1.2462,                 0.6246,                0.99792,               0.006271,               0.006271,               0.006271
